claim_id,paper_location,claim_text,evidence_type,evidence_run_ids,data_scope,uncertainty,counter_evidence,verdict,allowed_statement,correction_proposal,depends_on,applied_status
CE-015,"paper_draft.md:13, :498, :570",estimated inference latency of approximately 5 ms on NVIDIA Jetson Orin Nano,추정,none,추정치,Table 14 는 '(est.)' 로 표기하지만 abstract/결론은 표기 없음,Jetson 실측 ORT CUDA 16.27 ms. 4.88/3.33 ms 는 trtexec GPU compute only 이고 ORT TensorRT EP 는 SIGSEGV,REFUTED(추정치),Jetson 실측 ORT CUDA EP 16.27 ms/sample,abstract·결론의 '약 5 ms' 를 실측치로 교체하고 measurement 조건을 병기,,APPLIED Table 14 · abstract · 결론 실측치 교체
CE-020,paper_draft.md:364,"compared to TimesNet, the improvement is 3.68%",실행 기록,EXP-LEGACY-timesnet-simplified,AI Hub val 4대,비교 대상 구현이 원 논문과 다르다,"external_baselines.py:46 periods = T//(top_indices+1) 이 6개 주기 전부 오답(10->7, 6->5, 15->10, 5->4, 3->2). top-k 계산 후 [:,0] 만 사용. 다중주기 가중합성·Inception 블록 없음. 파일 docstring 이 'simplified' 와 'faithful' 을 동시 주장",INVALID(비교 대상),우리 축약 구현 대비 개선. TimesNet 자체와의 비교가 아니다,'TimesNet 대비 3.68% 우수' 철회. 축약 변형임을 명시하거나 공식 구현으로 재평가,EXP-20260907-001; EXP-20260907-004,APPLIED :364 TimesNet 비교 철회 + PENDING(EXP-20260907-001/-004)
CE-030,paper_draft.md:131,"CT1 = input line, CT2 = output line, CT3 = motor 1, CT4 = motor 2",사용자 제공 대화 이력,none,AI Hub 배포 패키지,배포물에 근거 없음,Sample.zip 라벨 JSON 은 data_unit 'A' 와 코드명 S18 overcurrent_sensor 까지만 제공. PDF·readme·소스에 매핑 없음,UNVERIFIED,"4개 전류 채널(단위 A, 공급자 표기 overcurrent sensor). 채널별 측정 위치는 배포 패키지에 미기재",인용을 '배포 패키지에 포함되지 않은 활용 가이드라인' 으로 명시하거나 서술을 하향,B-5,APPLIED :131 가이드라인 출처·배포물 미기재 명시
CE-031,"paper_draft.md:92, :197",원 데이터는 100 ms(10 Hz) 주기로 수집되어 공급자가 1초로 집계,사용자 제공 대화 이력,none,AI Hub 배포 패키지,배포물에 근거 없음,라벨 JSON 은 duration_time '1' 만 제공. 집계 함수 기술 없음. 파일명 timestamp 도 1초 간격,UNVERIFIED,배포 데이터는 1 Hz 이고 공급자 내부 집계 방식은 공개되지 않았다,출처 명시 또는 '미공개' 로 하향,,APPLIED :197 출처 표기 (:92 는 이미 정확)
CE-032,paper_draft.md:141,"Current transformer = KEMET CT-06, 0-200 A",사용자 제공 대화 이력,none,AI Hub 배포 패키지,배포물에 근거 없음,배포 JSON 은 센서 코드 S02/S10/S18/S26 만 제공,UNVERIFIED,공급자 센서 코드 S18(overcurrent). 부품 모델명과 범위는 배포 패키지에 미기재,출처 명시 또는 하향,B-5,APPLIED :141 부품명 출처 명시
CE-033,paper_draft.md:96,thermal image stored in NumPy .npy format,코드 확인,none,배포 파일,없음,배포 파일 확장자는 *.bin (내부는 npy 스트림). dataset.py:121-122 및 공식 loader 모두 np.load(bin_path),부정확(표현),*.bin 파일에 npy 스트림으로 저장,문구 정정,,APPLIED :133 .bin 표현 정정
CE-034,"paper_draft.md:25, 참고문헌 [6]",MMTransformer 를 멀티모달 센서 융합 예측정비 선행연구로 인용,문헌 확인,none,인용 문헌,없음,decisionforce/mmTransformer 는 CVPR-2021 차량 궤적 예측 모델. 'multimodal' 은 다중 궤적 가설을 뜻함,REFUTED,해당 문헌은 궤적 예측 연구다,인용 삭제 또는 실제 멀티모달 예측정비 선행연구로 교체,,"APPLIED :25 인용 제거, [6] 철회 표시 (번호 보존)"
CE-040,"paper_draft.md:13, :437",100% recall for severe degradation states (66/66),실행 기록,EXP-LEGACY-v2plus-seed42,AI Hub val 4대 window,독립 사건 수가 아니라 window 수,"학습 target 은 30 라벨의 plurality (dataset.py:132-136). 2-class window 는 16개, 3-class 혼합은 11/30 으로도 라벨이 바뀐다. 상태 전이 후 약 절반 window 가 이전 상태로 라벨링된다",정확하나 해석 제한,위험 상태 window 66개를 모두 분류. 독립 사건 66건이나 30초 선행경보를 의미하지 않는다,'66/66 windows' 로 단위를 명시하고 선행경보 해석을 배제하는 문장 추가,,APPLIED abstract·:437 window 단위 명시 및 선행경보 해석 배제
CE-041,paper_draft.md:211,class-balanced sampling ensures balanced representation,코드 확인 + 산술,EXP-LEGACY-v2plus-seed42,학습 목적함수,없음,sampler(1/n)와 weighted CE(1/n)가 동시 적용되어 유효 prior 가 1/n^2. 유효 손실 배분 Normal 7.0 / Mild 15.0 / Moderate 15.25 / Severe 62.75 %,부정확(기술),샘플러와 손실 가중이 함께 적용되어 소수 클래스 쪽으로 유효 prior 가 역전된다,이중 보정 사실과 유효 배분을 명시. softmax 를 현장 확률로 해석하지 않는다는 문장 추가,EXP-20260907-007,"APPLIED :211 이중 보정 실효 배분 기술, :437 귀속 정정"
CE-042,"paper_draft.md:13 (abstract), 모델 서술 일반",열화상을 LSTM+channel attention 을 통해 융합하여 복잡한 모달 간 관계를 모델링,수학적 확인,EXP-LEGACY-v2plus-seed42,모델 구조,없음,"v2_plus.py:106 은 시간축 평균, :121 은 단일 Linear. fc_thermal 뒤 활성화 없음 -> 열화상 기여가 시간평균 특징맵의 선형 사상. 프레임 순열 잔차 1.8e-15. SE 는 128차 잠재 특징을 gating (8개 물리 센서 아님)",과도한 주장,센서측은 LSTM 이 시간 구조를 학습한다. 열화상은 창 평균 외형 점수로 가산 결합되며 프레임 순서나 모달 간 시간 관계를 표현하지 않는다,'inter-modal relationships' 표현을 가산 결합 범위로 한정. SE 를 센서 중요도로 해석하는 서술 제거,,APPLIED abstract 융합 표현을 가산·시간평균 범위로 한정
CE-043,paper_draft.md:360,"V2+ reports mean +/- std over three seeds (42, 123, 456)",코드 확인,EXP-LEGACY-v2plus-seed42; EXP-LEGACY-v2plus-seed123; EXP-LEGACY-v2plus-seed456,세 실행,seed 가 초기 가중치를 통제하지 않았다,train_paper_experiments.py:335-338 이 V2Plus 를 먼저 생성하고 :243 에서 manual_seed. train_v2plus.py 는 seed 설정이 전혀 없음. 3회는 서로 다른 초기화이므로 분산 추정으로는 유효하나 seed 로 재현 불가,PARTIALLY CONFIRMED,서로 다른 초기화 3회의 평균과 표준편차. 명시된 seed 로 bit-level 재현은 불가,'three independent initialisations' 로 표기하고 seed 재현 불가를 한계로 기술,EXP-20260907-002,APPLIED :360 'three independent initialisations' + 재현 불가 한계 명시
CE-044,논문 전체 (평가 정밀도 서술),--amp 미사용이므로 평가까지 순수 FP32,코드 확인,none,현재 코드,논문 수치 자체는 영향 없음,train_v2plus.py:109 가 --amp 와 무관하게 torch.amp.autocast('cuda') 진입. 단 해당 커밋(2026-08-03)은 논문 3회 실행(2026-04) 이후이므로 게재 수치는 FP32 평가,현재 코드에 해당,게재 수치는 FP32 평가. 현재 코드는 평가에서 autocast 를 무조건 사용하므로 재현 시 정밀도가 다르다,정밀도 서술을 실행 시점별로 분리 기술. 코드 수정은 EXP-20260907-002 와 함께,,PENDING - 코드는 수정 완료(eval autocast 조건부). 논문 정밀도 서술은 재실행 후 확정
CE-045,"paper_draft.md:451, :558 (근거는 :133)","열화상의 +0.37% F1 기여는 취득 카메라의 32x32 native 픽셀(~1,024) 정보 예산 상한을 반영하며, FLIR Lepton 3.5(160x120 native)에서 더 큰 여유가 기대된다",문서화된 하드웨어 사실 + 추론,EXP-LEGACY-v2plus-sensor-only; EXP-LEGACY-v2plus-seed42,AI Hub val 4대. :133 의 native 32x32 및 ~15x upsampling 은 배포 근거 있음,논문이 'likely reflects' / 'expected to' 로 헤지하고 있어 단정은 아니다. 다만 대안 설명이 통제되지 않았다,"픽셀 수가 유일한 병목이 아니다. v2_plus.py:106 시간축 평균 + :121 단일 Linear + fc_thermal 뒤 활성화 부재로 열화상 기여가 시간평균 특징맵의 선형 사상이다(프레임 순열 잔차 1.8e-15). 시간 정보 파괴와 가산 결합이 남아 있으면 native 해상도를 19,200 픽셀로 올려도 같은 +0.37% 가 재현될 수 있다. 그 밖에 촬영 위치, 라벨의 센서 의존성, 단일 과열 과정, NTC 와의 정보 중복도 통제되지 않았다","PARTIALLY CONFIRMED (헤지됨, 대안 미통제)",native 32x32 는 문서화된 제약이다. 다만 +0.37% 의 원인을 픽셀 예산으로 특정할 수 없고 구조적 병목(시간평균·선형 가산)이 함께 작용한다,픽셀 예산과 구조적 병목을 병렬 가설로 기술. :558 의 'Lepton fine-tuning 이 기여를 끌어올릴 것' 예상에 구조 변경 없이는 재현될 수 있다는 조건을 부기. 최소 인코더·시간 인코더 비교로 분리 검증,EXP-20260907-005,APPLIED :451/:558 구조적 병목 병렬 가설로 기술 + PENDING(EXP-20260907-005)
CE-046,논문 일반 (일반화 주장),AI Hub validation split 성능이 일반화 성능,코드 확인,EXP-LEGACY-* (전체),"Validation 장비 4대 (agv17, agv18, oht17, oht18) / 39 session / 1,157 window",유효 독립 단위가 장비 4대. window iid 가정은 신뢰구간을 과소평가,"split 은 장비 분리(train 32대, 교집합 0)로 설계가 올바르나, 같은 4대를 모델·lag·구성 선택과 최종 보고에 반복 사용. 미사용 test 가 없다",PARTIALLY CONFIRMED,장비 분리 validation 4대에서의 결과. 모델 선택에 반복 사용된 split 이므로 낙관 편향 가능,한계로 명시하고 불확실성을 장비 단위로 보고. 최종 test 는 별도 확보,EXP-20260907-006,PENDING - 장비 단위 불확실성은 EXP-20260907-006 필요. 한계 서술은 :360 에 일부 반영
